"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Dotenv", "Prisma", "TypeScript JSX", "comment", "blank", "total"
"d:\PortafolioAI\CC\packages\server\package.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 22
"d:\PortafolioAI\CC\packages\server\src\index.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 6, 21
"d:\PortafolioAI\CC\packages\server\src\lib\models.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 12, 66
"d:\PortafolioAI\CC\packages\server\src\routes\chat.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 8, 53
"d:\PortafolioAI\CC\packages\server\src\routes\sessions.ts", "TypeScript", 0, 0, 70, 0, 0, 0, 15, 16, 101
"d:\PortafolioAI\CC\packages\server\tsconfig.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\PortafolioAI\CC\packages\shared\package.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 11
"d:\PortafolioAI\CC\packages\shared\src\index.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 1, 18
"d:\PortafolioAI\CC\packages\shared\src\models.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 8, 74
"d:\PortafolioAI\CC\packages\shared\src\schemas.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 6, 58
"d:\PortafolioAI\CC\packages\shared\tsconfig.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\PortafolioAI\CC\tsconfig.base.json", "JSON", 0, 21, 0, 0, 0, 0, 5, 4, 30
"Total", "-", 301, 176, 1076, 2, 44, 1255, 43, 502, 3399
